set_id,stratum,rms_db,voiced_frac
in00000,voiced,-14.41,0.833
in00001,silence,-50.71,0.0
in00002,voiced,-2.53,1.0
in00003,silence,-43.49,0.0
in00004,voiced,-5.25,1.0
in00005,voiced,-5.71,1.0
in00006,silence,-45.77,0.0
in00007,voiced,-10.02,1.0
in00008,voiced,-7.97,1.0
in00009,voiced,-2.77,1.0
in00010,voiced,-23.5,1.0
in00011,unvoiced,-16.7,0.0
in00012,voiced,-15.69,0.667
in00013,voiced,-16.5,0.667
in00014,voiced,-4.71,0.833
in00015,unvoiced,-12.81,0.0
in00016,voiced,1.66,1.0
in00017,unvoiced,-3.71,0.0
in00018,voiced,-0.59,1.0
in00019,silence,-43.83,0.0
in00020,voiced,-5.42,1.0
in00021,silence,-42.77,0.0
in00022,silence,-48.28,0.0
in00023,voiced,-11.3,0.833
in00024,silence,-43.38,0.0
in00025,silence,-44.96,0.0
in00026,unvoiced,-17.79,0.0
in00027,voiced,-3.91,0.833
in00028,voiced,-3.29,1.0
in00029,voiced,-3.94,1.0
in00030,silence,-40.3,0.0
in00031,silence,-44.55,0.0
in00032,silence,-40.07,0.0
in00033,silence,-44.7,0.0
in00034,unvoiced,-8.88,0.0
in00035,unvoiced,-10.66,0.0
in00036,voiced,-5.97,1.0
in00037,silence,-43.49,1.0
in00038,unvoiced,-38.06,0.0
in00039,voiced,-8.74,0.833
in00040,voiced,-5.21,1.0
in00041,unvoiced,-19.7,0.0
in00042,silence,-51.84,1.0
in00043,silence,-47.12,1.0
in00044,voiced,-5.74,1.0
in00045,unvoiced,-26.29,0.167
in00046,voiced,-5.53,1.0
in00047,unvoiced,-16.16,0.0
in00048,silence,-42.96,0.0
in00049,unvoiced,-10.86,0.0
in00050,voiced,-4.73,1.0
in00051,unvoiced,-7.6,0.0
in00052,unvoiced,-29.22,0.0
in00053,unvoiced,-4.78,0.0
in00054,voiced,-5.53,0.833
in00055,voiced,-1.66,0.833
in00056,silence,-42.14,0.0
in00057,silence,-52.31,0.0
in00058,silence,-41.03,0.667
in00059,silence,-42.79,1.0
in00060,unvoiced,-4.09,0.0
in00061,silence,-48.08,1.0
in00062,silence,-47.28,0.0
in00063,voiced,-2.12,1.0
in00064,voiced,-4.62,0.833
in00065,unvoiced,-25.13,0.0
in00066,voiced,-9.94,1.0
in00067,voiced,-4.49,1.0
in00068,silence,-42.13,0.0
in00069,silence,-50.57,0.0
in00070,silence,-40.4,0.0
in00071,silence,-44.05,1.0
in00072,silence,-47.86,0.0
in00073,silence,-51.12,0.0
in00074,voiced,-11.2,0.833
in00075,voiced,-22.32,0.833
in00076,silence,-45.81,1.0
in00077,unvoiced,-17.78,0.333
in00078,silence,-47.73,0.0
in00079,silence,-40.19,0.0
in00080,voiced,-19.19,0.5
in00081,silence,-45.36,0.0
in00082,voiced,1.03,1.0
in00083,voiced,-14.33,0.833
in00084,voiced,-0.66,1.0
in00085,voiced,-2.99,1.0
in00086,silence,-44.22,0.0
in00087,voiced,-8.51,1.0
in00088,unvoiced,-27.4,0.0
in00089,voiced,-10.49,1.0
in00090,voiced,0.6,1.0
in00091,voiced,-6.87,1.0
in00092,voiced,-2.53,1.0
in00093,voiced,-0.14,1.0
in00094,voiced,-38.39,0.5
in00095,voiced,-2.49,1.0
in00096,silence,-52.27,1.0
in00097,silence,-41.73,0.0
in00098,voiced,0.22,1.0
in00099,voiced,-0.87,1.0
in00100,voiced,-4.85,1.0
in00101,voiced,-19.3,0.833
in00102,unvoiced,-19.88,0.0
