set_id,item,file,family,width_ms,speaker,generator,key_left,key_right,boundary_sample,boundary_ms,boundary_phase_ms,level_gain,raw_peak,clipped
in00000,P_BF,in00000__P_BF.wav,P,0,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,C_BF_w0,in00000__C_BF_w0.wav,C,0,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,D_BF_w0,in00000__D_BF_w0.wav,D,0,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,S_BF_w0,in00000__S_BF_w0.wav,S,0,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.122301,0.47186,False
in00000,C_BF_w20,in00000__C_BF_w20.wav,C,20,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,D_BF_w20,in00000__D_BF_w20.wav,D,20,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,S_BF_w20,in00000__S_BF_w20.wav,S,20,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.122301,0.47186,False
in00000,C_BF_w60,in00000__C_BF_w60.wav,C,60,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,D_BF_w60,in00000__D_BF_w60.wav,D,60,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,S_BF_w60,in00000__S_BF_w60.wav,S,60,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.122301,0.47186,False
in00000,C_BF_w160,in00000__C_BF_w160.wav,C,160,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
