statistic,cue,band,width_ms,family,value,ci_low,ci_high
R,seg,0-19 ms,0,C,0.0472,-0.0079,0.1008
R,seg,0-19 ms,0,D,0.1181,0.0568,0.179
R,seg,0-19 ms,0,S,0.0362,-0.0237,0.0991
R,seg,0-19 ms,0,A,0.1276,0.0692,0.1833
R,seg,0-19 ms,20,C,0.0455,-0.0079,0.0989
R,seg,0-19 ms,20,D,-0.0141,-0.0724,0.0423
R,seg,0-19 ms,20,S,-0.0942,-0.1507,-0.0377
R,seg,0-19 ms,20,A,-0.0251,-0.0801,0.0298
R,seg,0-19 ms,60,C,0.0597,0.0031,0.1144
R,seg,0-19 ms,60,D,-0.0471,-0.0975,0.0063
R,seg,0-19 ms,60,S,-0.179,-0.2315,-0.1254
R,seg,0-19 ms,60,A,-0.0785,-0.1301,-0.0236
R,seg,0-19 ms,160,C,0.0693,0.0142,0.123
R,seg,0-19 ms,160,D,-0.0551,-0.1069,-0.0
R,seg,0-19 ms,160,S,-0.1433,-0.1969,-0.0868
R,seg,0-19 ms,160,A,-0.0976,-0.1507,-0.0427
R,seg,20-39 ms,0,C,0.0361,-0.0188,0.0878
R,seg,20-39 ms,0,D,-0.0846,-0.1395,-0.0298
R,seg,20-39 ms,0,S,-0.1771,-0.2273,-0.1191
R,seg,20-39 ms,0,A,-0.0784,-0.127,-0.0282
R,seg,20-39 ms,20,C,0.0596,0.0031,0.1144
R,seg,20-39 ms,20,D,-0.094,-0.1474,-0.0392
R,seg,20-39 ms,20,S,-0.1661,-0.221,-0.1113
R,seg,20-39 ms,20,A,-0.0752,-0.1254,-0.025
R,seg,20-39 ms,60,C,0.0392,-0.0172,0.094
R,seg,20-39 ms,60,D,-0.0705,-0.1238,-0.0156
R,seg,20-39 ms,60,S,-0.1865,-0.2398,-0.1317
R,seg,20-39 ms,60,A,-0.0674,-0.1191,-0.0141
R,seg,20-39 ms,160,C,0.0329,-0.0219,0.0862
R,seg,20-39 ms,160,D,-0.0392,-0.0956,0.0188
R,seg,20-39 ms,160,S,-0.1567,-0.2085,-0.1019
R,seg,20-39 ms,160,A,-0.0831,-0.1317,-0.0298
E,seg,0-19 ms,0,C,0.0,0.0,0.0
E,seg,0-19 ms,0,D,-0.5433,-0.5874,-0.4953
E,seg,0-19 ms,0,S,-0.5228,-0.5692,-0.4762
E,seg,0-19 ms,0,A,-0.5638,-0.6088,-0.5173
E,seg,0-19 ms,20,C,0.011,-0.0285,0.0491
E,seg,0-19 ms,20,D,-0.4685,-0.515,-0.4211
E,seg,0-19 ms,20,S,-0.4369,-0.4843,-0.3874
E,seg,0-19 ms,20,A,-0.5694,-0.6107,-0.5235
E,seg,0-19 ms,60,C,-0.011,-0.0651,0.0429
E,seg,0-19 ms,60,D,-0.5174,-0.5619,-0.47
E,seg,0-19 ms,60,S,-0.4858,-0.5324,-0.4374
E,seg,0-19 ms,60,A,-0.6025,-0.6424,-0.5592
E,seg,0-19 ms,160,C,-0.0079,-0.063,0.0475
E,seg,0-19 ms,160,D,-0.4913,-0.5376,-0.445
E,seg,0-19 ms,160,S,-0.5039,-0.551,-0.4558
E,seg,0-19 ms,160,A,-0.6016,-0.6425,-0.5566
E,seg,20-39 ms,0,C,0.0,0.0,0.0
E,seg,20-39 ms,0,D,-0.3292,-0.3793,-0.279
E,seg,20-39 ms,0,S,-0.3323,-0.3809,-0.2806
E,seg,20-39 ms,0,A,-0.4514,-0.4984,-0.4013
E,seg,20-39 ms,20,C,-0.0,-0.0384,0.0368
E,seg,20-39 ms,20,D,-0.3981,-0.4452,-0.3495
E,seg,20-39 ms,20,S,-0.373,-0.4232,-0.3228
E,seg,20-39 ms,20,A,-0.5016,-0.5455,-0.453
E,seg,20-39 ms,60,C,0.0031,-0.0502,0.0549
E,seg,20-39 ms,60,D,-0.4342,-0.4828,-0.3856
E,seg,20-39 ms,60,S,-0.4295,-0.4781,-0.3777
E,seg,20-39 ms,60,A,-0.5266,-0.5721,-0.4796
E,seg,20-39 ms,160,C,0.0047,-0.0517,0.0596
E,seg,20-39 ms,160,D,-0.4687,-0.5173,-0.4216
E,seg,20-39 ms,160,S,-0.4498,-0.5,-0.3981
E,seg,20-39 ms,160,A,-0.5423,-0.5862,-0.4969
R,bd,0-19 ms,0,C,0.0126,-0.0409,0.066
R,bd,0-19 ms,0,D,-0.0441,-0.0992,0.0142
R,bd,0-19 ms,0,S,-0.0677,-0.1244,-0.0078
R,bd,0-19 ms,0,A,0.0236,-0.033,0.082
R,bd,0-19 ms,20,C,0.011,-0.0439,0.066
R,bd,0-19 ms,20,D,0.0675,0.0142,0.1223
R,bd,0-19 ms,20,S,0.0298,-0.0268,0.0879
R,bd,0-19 ms,20,A,0.1177,0.0659,0.1698
R,bd,0-19 ms,60,C,-0.0251,-0.0832,0.0313
R,bd,0-19 ms,60,D,0.0157,-0.0392,0.0691
R,bd,0-19 ms,60,S,0.0047,-0.0533,0.0597
R,bd,0-19 ms,60,A,0.0895,0.0376,0.1444
R,bd,0-19 ms,160,C,-0.0016,-0.0567,0.0549
R,bd,0-19 ms,160,D,0.0646,0.011,0.1181
R,bd,0-19 ms,160,S,0.0331,-0.0204,0.0879
R,bd,0-19 ms,160,A,0.0913,0.0348,0.1487
R,bd,20-39 ms,0,C,-0.0439,-0.0972,0.0125
R,bd,20-39 ms,0,D,-0.0172,-0.0737,0.0376
R,bd,20-39 ms,0,S,0.0,-0.0564,0.0517
R,bd,20-39 ms,0,A,0.0831,0.0282,0.1379
R,bd,20-39 ms,20,C,-0.0251,-0.0831,0.0313
R,bd,20-39 ms,20,D,0.0235,-0.0298,0.0768
R,bd,20-39 ms,20,S,-0.0094,-0.0674,0.047
R,bd,20-39 ms,20,A,0.1207,0.0689,0.1755
R,bd,20-39 ms,60,C,-0.0266,-0.0784,0.0251
R,bd,20-39 ms,60,D,0.0204,-0.0345,0.0752
R,bd,20-39 ms,60,S,0.0235,-0.0313,0.0768
R,bd,20-39 ms,60,A,0.0925,0.0361,0.1442
R,bd,20-39 ms,160,C,-0.0047,-0.0596,0.0502
R,bd,20-39 ms,160,D,0.0909,0.0361,0.1489
R,bd,20-39 ms,160,S,0.0517,-0.0016,0.105
R,bd,20-39 ms,160,A,0.1129,0.058,0.1693
E,bd,0-19 ms,0,C,0.0,0.0,0.0
E,bd,0-19 ms,0,D,0.5543,0.5079,0.5994
E,bd,0-19 ms,0,S,0.5102,0.4627,0.5552
E,bd,0-19 ms,0,A,0.5969,0.5512,0.6437
E,bd,0-19 ms,20,C,-0.0158,-0.056,0.0268
E,bd,0-19 ms,20,D,0.2461,0.1934,0.2981
E,bd,0-19 ms,20,S,0.2492,0.1934,0.3024
E,bd,0-19 ms,20,A,0.3265,0.2776,0.3785
E,bd,0-19 ms,60,C,-0.0631,-0.1197,-0.011
E,bd,0-19 ms,60,D,0.0252,-0.0301,0.0816
