statistic,cue,band,width_ms,family,value,ci_low,ci_high
R,codec,0-19 ms,0,C,0.0205,-0.0316,0.0724
R,codec,0-19 ms,0,D,-0.4047,-0.459,-0.3501
R,codec,0-19 ms,0,S,-0.422,-0.4764,-0.3665
R,codec,0-19 ms,0,A,-0.4598,-0.5134,-0.4063
R,codec,0-19 ms,20,C,0.0204,-0.0331,0.074
R,codec,0-19 ms,20,D,-0.3155,-0.3668,-0.259
R,codec,0-19 ms,20,S,-0.2841,-0.3401,-0.2299
R,codec,0-19 ms,20,A,-0.2841,-0.337,-0.2296
R,codec,0-19 ms,60,C,-0.0141,-0.0705,0.0393
R,codec,0-19 ms,60,D,-0.1617,-0.2166,-0.1099
R,codec,0-19 ms,60,S,-0.1743,-0.228,-0.1207
R,codec,0-19 ms,60,A,-0.1852,-0.239,-0.1285
R,codec,0-19 ms,160,C,0.0346,-0.0174,0.0896
R,codec,0-19 ms,160,D,-0.0929,-0.1449,-0.038
R,codec,0-19 ms,160,S,-0.1244,-0.1777,-0.0707
R,codec,0-19 ms,160,A,-0.1417,-0.1956,-0.09
R,codec,20-39 ms,0,C,0.0063,-0.0517,0.0611
R,codec,20-39 ms,0,D,-0.3824,-0.4342,-0.3292
R,codec,20-39 ms,0,S,-0.3417,-0.3934,-0.2868
R,codec,20-39 ms,0,A,-0.3542,-0.4075,-0.3041
R,codec,20-39 ms,20,C,-0.0157,-0.0721,0.0392
R,codec,20-39 ms,20,D,-0.1536,-0.2085,-0.0987
R,codec,20-39 ms,20,S,-0.1897,-0.2445,-0.1364
R,codec,20-39 ms,20,A,-0.185,-0.2367,-0.1301
R,codec,20-39 ms,60,C,0.0125,-0.0455,0.0674
R,codec,20-39 ms,60,D,-0.0956,-0.1489,-0.0408
R,codec,20-39 ms,60,S,-0.0752,-0.1301,-0.0235
R,codec,20-39 ms,60,A,-0.0862,-0.1442,-0.0329
R,codec,20-39 ms,160,C,-0.0,-0.0533,0.0518
R,codec,20-39 ms,160,D,-0.0956,-0.1489,-0.0423
R,codec,20-39 ms,160,S,-0.1254,-0.1818,-0.0721
R,codec,20-39 ms,160,A,-0.1332,-0.1865,-0.0846
E,codec,0-19 ms,0,C,0.0,0.0,0.0
E,codec,0-19 ms,0,D,0.7575,0.719,0.7956
E,codec,0-19 ms,0,S,0.7748,0.7358,0.8095
E,codec,0-19 ms,0,A,0.7591,0.7213,0.7931
E,codec,0-19 ms,20,C,-0.0126,-0.0535,0.0283
E,codec,0-19 ms,20,D,0.2744,0.2203,0.3281
E,codec,0-19 ms,20,S,0.3013,0.2441,0.3556
E,codec,0-19 ms,20,A,0.2729,0.2196,0.3239
E,codec,0-19 ms,60,C,-0.0457,-0.1054,0.0126
E,codec,0-19 ms,60,D,0.0757,0.0188,0.1315
E,codec,0-19 ms,60,S,0.1577,0.0992,0.2114
E,codec,0-19 ms,60,A,0.1356,0.0817,0.1918
E,codec,0-19 ms,160,C,-0.0142,-0.0755,0.0427
E,codec,0-19 ms,160,D,0.0567,-0.0,0.1134
E,codec,0-19 ms,160,S,0.0882,0.0316,0.1469
E,codec,0-19 ms,160,A,0.0772,0.0174,0.1348
E,codec,20-39 ms,0,C,0.0,0.0,0.0
E,codec,20-39 ms,0,D,0.453,0.4028,0.5016
E,codec,20-39 ms,0,S,0.4545,0.4075,0.5047
E,codec,20-39 ms,0,A,0.4655,0.4169,0.5141
E,codec,20-39 ms,20,C,-0.0204,-0.0611,0.0188
E,codec,20-39 ms,20,D,0.0266,-0.0298,0.0815
E,codec,20-39 ms,20,S,0.1129,0.0564,0.1677
E,codec,20-39 ms,20,A,0.0815,0.0235,0.1395
E,codec,20-39 ms,60,C,0.0486,-0.0078,0.1019
E,codec,20-39 ms,60,D,0.0486,-0.0047,0.1019
E,codec,20-39 ms,60,S,0.116,0.0627,0.1677
E,codec,20-39 ms,60,A,0.094,0.0423,0.1473
E,codec,20-39 ms,160,C,-0.0078,-0.0643,0.0455
E,codec,20-39 ms,160,D,-0.0016,-0.0564,0.0533
E,codec,20-39 ms,160,S,0.0486,-0.0078,0.0987
E,codec,20-39 ms,160,A,0.0361,-0.0188,0.0878
R,trajectory,0-19 ms,0,C,-0.0612,-0.1195,-0.0047
R,trajectory,0-19 ms,0,D,-0.1068,-0.168,-0.0439
R,trajectory,0-19 ms,0,S,-0.1068,-0.1693,-0.0424
R,trajectory,0-19 ms,0,A,-0.0816,-0.146,-0.0189
R,trajectory,0-19 ms,20,C,-0.0378,-0.0943,0.0157
R,trajectory,0-19 ms,20,D,-0.011,-0.0677,0.0442
R,trajectory,0-19 ms,20,S,0.0362,-0.0204,0.0959
R,trajectory,0-19 ms,20,A,0.1071,0.0455,0.1667
R,trajectory,0-19 ms,60,C,-0.0189,-0.074,0.0347
R,trajectory,0-19 ms,60,D,-0.0409,-0.0943,0.0159
R,trajectory,0-19 ms,60,S,-0.011,-0.0615,0.0394
