statistic,cue,band,width_ms,family,value,ci_low,ci_high
R,seg,0-19 ms,0,C,-0.0295,-0.1031,0.043
R,seg,0-19 ms,0,D,-0.0295,-0.098,0.0401
R,seg,0-19 ms,0,S,-0.0777,-0.1501,-0.008
R,seg,0-19 ms,20,C,-0.0587,-0.128,0.0107
R,seg,0-19 ms,20,D,-0.0827,-0.1547,-0.0107
R,seg,0-19 ms,20,S,-0.2027,-0.2721,-0.1333
R,seg,0-19 ms,60,C,-0.0613,-0.1333,0.0107
R,seg,0-19 ms,60,D,-0.1467,-0.2134,-0.0773
R,seg,0-19 ms,60,S,-0.264,-0.3307,-0.1947
R,seg,0-19 ms,160,C,0.0054,-0.0658,0.0763
R,seg,0-19 ms,160,D,-0.1796,-0.253,-0.1114
R,seg,0-19 ms,160,S,-0.244,-0.3137,-0.1758
R,seg,20-39 ms,0,C,-0.0667,-0.136,0.0053
R,seg,20-39 ms,0,D,-0.04,-0.1093,0.0293
R,seg,20-39 ms,0,S,-0.1547,-0.224,-0.0827
R,seg,20-39 ms,20,C,-0.0613,-0.1333,0.0107
R,seg,20-39 ms,20,D,-0.1387,-0.208,-0.072
R,seg,20-39 ms,20,S,-0.304,-0.3733,-0.232
R,seg,20-39 ms,60,C,0.0107,-0.0614,0.0827
R,seg,20-39 ms,60,D,-0.1307,-0.2054,-0.0613
R,seg,20-39 ms,60,S,-0.2453,-0.3147,-0.1733
R,seg,20-39 ms,160,C,-0.024,-0.0933,0.048
R,seg,20-39 ms,160,D,-0.1893,-0.2613,-0.1227
R,seg,20-39 ms,160,S,-0.2613,-0.3307,-0.192
E,seg,0-19 ms,0,C,0.0,0.0,0.0
E,seg,0-19 ms,0,D,-0.6005,-0.6564,-0.5416
E,seg,0-19 ms,0,S,-0.5603,-0.6193,-0.5
E,seg,0-19 ms,20,C,0.0067,-0.0444,0.0562
E,seg,0-19 ms,20,D,-0.429,-0.4939,-0.3637
E,seg,0-19 ms,20,S,-0.4745,-0.536,-0.4083
E,seg,0-19 ms,60,C,0.0,-0.0724,0.0724
E,seg,0-19 ms,60,D,-0.5094,-0.5678,-0.4477
E,seg,0-19 ms,60,S,-0.4424,-0.5047,-0.3763
E,seg,0-19 ms,160,C,-0.0134,-0.0875,0.0601
E,seg,0-19 ms,160,D,-0.5871,-0.6466,-0.53
E,seg,0-19 ms,160,S,-0.4558,-0.5194,-0.3941
E,seg,20-39 ms,0,C,0.0,0.0,0.0
E,seg,20-39 ms,0,D,-0.4533,-0.5147,-0.3893
E,seg,20-39 ms,0,S,-0.3893,-0.4533,-0.32
E,seg,20-39 ms,20,C,-0.0333,-0.084,0.0187
E,seg,20-39 ms,20,D,-0.4373,-0.4987,-0.3733
E,seg,20-39 ms,20,S,-0.4133,-0.4747,-0.3467
E,seg,20-39 ms,60,C,-0.0027,-0.072,0.064
E,seg,20-39 ms,60,D,-0.4613,-0.528,-0.4
E,seg,20-39 ms,60,S,-0.3573,-0.4214,-0.288
E,seg,20-39 ms,160,C,0.0027,-0.072,0.072
E,seg,20-39 ms,160,D,-0.4853,-0.5493,-0.4213
E,seg,20-39 ms,160,S,-0.3787,-0.448,-0.3147
R,bd,0-19 ms,0,C,0.0509,-0.0228,0.1233
R,bd,0-19 ms,0,D,0.0214,-0.0494,0.0897
R,bd,0-19 ms,0,S,-0.0536,-0.1242,0.0161
R,bd,0-19 ms,20,C,0.0613,-0.0107,0.1333
R,bd,0-19 ms,20,D,0.0587,-0.016,0.1307
R,bd,0-19 ms,20,S,-0.0747,-0.144,-0.0053
R,bd,0-19 ms,60,C,-0.008,-0.08,0.064
R,bd,0-19 ms,60,D,0.1227,0.0507,0.1867
R,bd,0-19 ms,60,S,-0.0267,-0.096,0.0454
R,bd,0-19 ms,160,C,-0.0536,-0.1245,0.0147
R,bd,0-19 ms,160,D,0.1716,0.1058,0.243
R,bd,0-19 ms,160,S,0.0054,-0.0668,0.0765
R,bd,20-39 ms,0,C,0.0027,-0.0693,0.0747
R,bd,20-39 ms,0,D,0.0827,0.008,0.152
R,bd,20-39 ms,0,S,-0.0907,-0.1627,-0.016
R,bd,20-39 ms,20,C,-0.008,-0.08,0.064
R,bd,20-39 ms,20,D,0.056,-0.0133,0.128
R,bd,20-39 ms,20,S,-0.0053,-0.0774,0.064
R,bd,20-39 ms,60,C,-0.056,-0.1227,0.0187
R,bd,20-39 ms,60,D,0.064,-0.0027,0.1333
R,bd,20-39 ms,60,S,0.024,-0.048,0.096
R,bd,20-39 ms,160,C,-0.024,-0.0987,0.048
R,bd,20-39 ms,160,D,0.1467,0.0773,0.2161
R,bd,20-39 ms,160,S,-0.008,-0.08,0.0641
E,bd,0-19 ms,0,C,0.0,0.0,0.0
E,bd,0-19 ms,0,D,0.6676,0.6107,0.7208
E,bd,0-19 ms,0,S,0.7802,0.7346,0.8226
E,bd,0-19 ms,20,C,-0.0147,-0.0669,0.0349
E,bd,0-19 ms,20,D,0.4048,0.3378,0.4686
E,bd,0-19 ms,20,S,0.571,0.5121,0.6278
E,bd,0-19 ms,60,C,-0.0617,-0.1356,0.0054
