statistic,cue,band,width_ms,family,value,ci_low,ci_high
R,ps20,0-19 ms,0,C,-0.056,-0.1253,0.016
R,ps20,0-19 ms,0,D,-0.7667,-0.8093,-0.7213
R,ps20,0-19 ms,0,S,-0.8453,-0.8827,-0.8053
R,ps20,0-19 ms,20,C,-0.0387,-0.1108,0.0347
R,ps20,0-19 ms,20,D,-0.4206,-0.482,-0.3546
R,ps20,0-19 ms,20,S,-0.5594,-0.6155,-0.5027
R,ps20,0-19 ms,60,C,-0.0881,-0.1629,-0.0133
R,ps20,0-19 ms,60,D,-0.4686,-0.5301,-0.4029
R,ps20,0-19 ms,60,S,-0.4232,-0.4866,-0.3547
R,ps20,0-19 ms,160,C,-0.1413,-0.2107,-0.072
R,ps20,0-19 ms,160,D,-0.3973,-0.4613,-0.3333
R,ps20,0-19 ms,160,S,-0.3333,-0.4,-0.2667
R,ps20,20-39 ms,0,C,-0.048,-0.12,0.0267
R,ps20,20-39 ms,0,D,-0.5867,-0.6453,-0.5253
R,ps20,20-39 ms,0,S,-0.704,-0.752,-0.6533
R,ps20,20-39 ms,20,C,-0.084,-0.1574,-0.008
R,ps20,20-39 ms,20,D,-0.456,-0.5253,-0.3947
R,ps20,20-39 ms,20,S,-0.4747,-0.536,-0.4079
R,ps20,20-39 ms,60,C,-0.1173,-0.1894,-0.0479
R,ps20,20-39 ms,60,D,-0.392,-0.456,-0.3253
R,ps20,20-39 ms,60,S,-0.3467,-0.416,-0.2773
R,ps20,20-39 ms,160,C,-0.1973,-0.2693,-0.1253
R,ps20,20-39 ms,160,D,-0.3973,-0.4613,-0.3307
R,ps20,20-39 ms,160,S,-0.368,-0.432,-0.2987
E,ps20,0-19 ms,0,C,0.0,0.0,0.0
E,ps20,0-19 ms,0,D,-0.8827,-0.9147,-0.848
E,ps20,0-19 ms,0,S,-0.9253,-0.952,-0.8987
E,ps20,0-19 ms,20,C,0.0134,-0.036,0.0615
E,ps20,0-19 ms,20,D,-0.6876,-0.736,-0.6336
E,ps20,0-19 ms,20,S,-0.8077,-0.8505,-0.7674
E,ps20,0-19 ms,60,C,-0.0147,-0.087,0.056
E,ps20,0-19 ms,60,D,-0.5861,-0.64,-0.528
E,ps20,0-19 ms,60,S,-0.6796,-0.7276,-0.6267
E,ps20,0-19 ms,160,C,-0.0347,-0.104,0.032
E,ps20,0-19 ms,160,D,-0.504,-0.5627,-0.44
E,ps20,0-19 ms,160,S,-0.5733,-0.632,-0.5173
E,ps20,20-39 ms,0,C,0.0,0.0,0.0
E,ps20,20-39 ms,0,D,-0.7947,-0.8347,-0.7493
E,ps20,20-39 ms,0,S,-0.8933,-0.9227,-0.8613
E,ps20,20-39 ms,20,C,-0.0453,-0.096,0.0053
E,ps20,20-39 ms,20,D,-0.592,-0.6453,-0.5333
E,ps20,20-39 ms,20,S,-0.776,-0.8187,-0.7307
E,ps20,20-39 ms,60,C,-0.0747,-0.144,0.0
E,ps20,20-39 ms,60,D,-0.4907,-0.5521,-0.4293
E,ps20,20-39 ms,60,S,-0.5813,-0.6373,-0.52
E,ps20,20-39 ms,160,C,-0.0533,-0.12,0.0187
E,ps20,20-39 ms,160,D,-0.456,-0.52,-0.3893
E,ps20,20-39 ms,160,S,-0.5413,-0.6,-0.4827
R,ps20,0-19 ms,pooled,1 processing      C - P,0.0514,0.0131,0.0971
R,ps20,0-19 ms,pooled,2 excision        D - C,0.4324,0.3793,0.4785
R,ps20,0-19 ms,pooled,3 source switch   S - C,0.4598,0.4061,0.5091
R,ps20,20-39 ms,pooled,1 processing      C - P,0.083,0.0426,0.1303
R,ps20,20-39 ms,pooled,2 excision        D - C,0.3456,0.2909,0.3973
R,ps20,20-39 ms,pooled,3 source switch   S - C,0.3614,0.3034,0.4138
E,ps20,0-19 ms,pooled,1 processing      C - P,-0.004,-0.013,0.0285
E,ps20,0-19 ms,pooled,2 excision        D - C,0.6395,0.5931,0.6682
E,ps20,0-19 ms,pooled,3 source switch   S - C,0.7215,0.6772,0.7474
E,ps20,20-39 ms,pooled,1 processing      C - P,0.0237,-0.0057,0.0587
E,ps20,20-39 ms,pooled,2 excision        D - C,0.5305,0.4849,0.5735
E,ps20,20-39 ms,pooled,3 source switch   S - C,0.6453,0.6019,0.6853
M,ps20,0-19 ms,0,C,0.0,,
M,ps20,0-19 ms,20,C,-0.0074,,
M,ps20,0-19 ms,60,C,-0.0146,,
M,ps20,0-19 ms,160,C,0.0061,,
M,ps20,0-19 ms,0,D,0.8529,,
M,ps20,0-19 ms,20,D,0.6583,,
M,ps20,0-19 ms,60,D,0.5563,,
M,ps20,0-19 ms,160,D,0.4747,,
M,ps20,0-19 ms,0,S,0.8967,,
M,ps20,0-19 ms,20,S,0.7792,,
M,ps20,0-19 ms,60,S,0.6502,,
M,ps20,0-19 ms,160,S,0.5441,,
M,ps20,20-39 ms,0,C,0.0,,
M,ps20,20-39 ms,20,C,0.0254,,
M,ps20,20-39 ms,60,C,0.0448,,
M,ps20,20-39 ms,160,C,0.0245,,
M,ps20,20-39 ms,0,D,0.7655,,
M,ps20,20-39 ms,20,D,0.563,,
M,ps20,20-39 ms,60,D,0.4613,,
M,ps20,20-39 ms,160,D,0.427,,
M,ps20,20-39 ms,0,S,0.865,,
M,ps20,20-39 ms,20,S,0.7477,,
M,ps20,20-39 ms,60,S,0.551,,
M,ps20,20-39 ms,160,S,0.512,,
R,ps20,M_near,shape,C,+0.117,,
R,ps20,M_total,shape,C,+0.635,,
R,ps20,M_near,shape,D,+0.279,,
R,ps20,M_total,shape,D,+1.615,,
R,ps20,M_near,shape,S,+0.424,,
R,ps20,M_total,shape,S,+1.814,,
R,ps20,M_near,shape,A,-,,
R,ps20,M_total,shape,A,-,,
E,ps20,M_near,shape,C,+0.045,,
E,ps20,M_total,shape,C,+0.717,,
E,ps20,M_near,shape,D,+0.359,,
E,ps20,M_total,shape,D,+2.254,,
E,ps20,M_near,shape,S,+0.352,,
E,ps20,M_total,shape,S,+1.971,,
E,ps20,M_near,shape,A,-,,
