statistic,cue,band,width_ms,family,value,ci_low,ci_high
R,ps20,0-19 ms,0,C,0.033,-0.0219,0.0863
R,ps20,0-19 ms,0,D,-0.4914,-0.5432,-0.4411
R,ps20,0-19 ms,0,S,-0.54,-0.5865,-0.4969
R,ps20,0-19 ms,0,A,-0.4898,-0.5329,-0.442
R,ps20,0-19 ms,20,C,0.0535,-0.0031,0.1073
R,ps20,0-19 ms,20,D,-0.1887,-0.2433,-0.1334
R,ps20,0-19 ms,20,S,-0.25,-0.3046,-0.1934
R,ps20,0-19 ms,20,A,-0.2437,-0.2945,-0.1933
R,ps20,0-19 ms,60,C,0.0016,-0.0502,0.0566
R,ps20,0-19 ms,60,D,-0.1714,-0.2256,-0.1183
R,ps20,0-19 ms,60,S,-0.1997,-0.2527,-0.1476
R,ps20,0-19 ms,60,A,-0.1777,-0.2315,-0.1256
R,ps20,0-19 ms,160,C,0.0016,-0.0549,0.0581
R,ps20,0-19 ms,160,D,-0.1083,-0.1601,-0.0565
R,ps20,0-19 ms,160,S,-0.2072,-0.2633,-0.1504
R,ps20,0-19 ms,160,A,-0.1224,-0.1717,-0.0706
R,ps20,20-39 ms,0,C,0.047,-0.0078,0.1034
R,ps20,20-39 ms,0,D,-0.2163,-0.2696,-0.1614
R,ps20,20-39 ms,0,S,-0.2712,-0.3261,-0.2163
R,ps20,20-39 ms,0,A,-0.2445,-0.2916,-0.1944
R,ps20,20-39 ms,20,C,0.0031,-0.0486,0.058
R,ps20,20-39 ms,20,D,-0.1364,-0.1881,-0.0831
R,ps20,20-39 ms,20,S,-0.2116,-0.2633,-0.1552
R,ps20,20-39 ms,20,A,-0.1395,-0.1912,-0.0893
R,ps20,20-39 ms,60,C,0.0815,0.0251,0.1333
R,ps20,20-39 ms,60,D,-0.1034,-0.1599,-0.0455
R,ps20,20-39 ms,60,S,-0.2147,-0.2712,-0.163
R,ps20,20-39 ms,60,A,-0.1426,-0.1944,-0.0925
R,ps20,20-39 ms,160,C,0.0564,0.0031,0.1129
R,ps20,20-39 ms,160,D,-0.0423,-0.0956,0.0126
R,ps20,20-39 ms,160,S,-0.1834,-0.2382,-0.1238
R,ps20,20-39 ms,160,A,-0.127,-0.1756,-0.0737
E,ps20,0-19 ms,0,C,0.0,0.0,0.0
E,ps20,0-19 ms,0,D,-0.4929,-0.5392,-0.4436
E,ps20,0-19 ms,0,S,-0.4458,-0.4968,-0.3934
E,ps20,0-19 ms,0,A,-0.4317,-0.4788,-0.3824
E,ps20,0-19 ms,20,C,0.0283,-0.0118,0.0647
E,ps20,0-19 ms,20,D,-0.5071,-0.5549,-0.4581
E,ps20,0-19 ms,20,S,-0.4457,-0.4929,-0.3947
E,ps20,0-19 ms,20,A,-0.4299,-0.4764,-0.3783
E,ps20,0-19 ms,60,C,0.0268,-0.0298,0.0818
E,ps20,0-19 ms,60,D,-0.5118,-0.5591,-0.4631
E,ps20,0-19 ms,60,S,-0.4772,-0.5269,-0.4259
E,ps20,0-19 ms,60,A,-0.4236,-0.4724,-0.3764
E,ps20,0-19 ms,160,C,0.0267,-0.0268,0.0786
E,ps20,0-19 ms,160,D,-0.4914,-0.5376,-0.4451
E,ps20,0-19 ms,160,S,-0.4804,-0.5291,-0.4292
E,ps20,0-19 ms,160,A,-0.4286,-0.4781,-0.3793
E,ps20,20-39 ms,0,C,0.0,0.0,0.0
E,ps20,20-39 ms,0,D,-0.4044,-0.4545,-0.3542
E,ps20,20-39 ms,0,S,-0.3887,-0.4389,-0.337
E,ps20,20-39 ms,0,A,-0.3558,-0.4044,-0.3056
E,ps20,20-39 ms,20,C,0.0078,-0.0298,0.0486
E,ps20,20-39 ms,20,D,-0.4718,-0.5188,-0.4263
E,ps20,20-39 ms,20,S,-0.4154,-0.4639,-0.3652
E,ps20,20-39 ms,20,A,-0.3824,-0.431,-0.3339
E,ps20,20-39 ms,60,C,0.0125,-0.0408,0.0674
E,ps20,20-39 ms,60,D,-0.4687,-0.5125,-0.42
E,ps20,20-39 ms,60,S,-0.4451,-0.4922,-0.395
E,ps20,20-39 ms,60,A,-0.3997,-0.4498,-0.3495
E,ps20,20-39 ms,160,C,0.0235,-0.0298,0.0784
E,ps20,20-39 ms,160,D,-0.4545,-0.5,-0.406
E,ps20,20-39 ms,160,S,-0.4373,-0.4844,-0.3871
E,ps20,20-39 ms,160,A,-0.4404,-0.4875,-0.3903
R,ps20,0-19 ms,pooled,1 processing      C - P,-0.0,-0.0099,0.0377
R,ps20,0-19 ms,pooled,2 excision        D - C,0.2176,0.1645,0.2463
R,ps20,0-19 ms,pooled,3 source switch   S - C,0.277,0.2222,0.3087
R,ps20,0-19 ms,pooled,4 authenticity    A - S,-0.0409,-0.0747,-0.0075
R,ps20,20-39 ms,pooled,1 processing      C - P,0.0248,0.0033,0.0644
R,ps20,20-39 ms,pooled,2 excision        D - C,0.0777,0.0193,0.1204
R,ps20,20-39 ms,pooled,3 source switch   S - C,0.1732,0.114,0.2159
R,ps20,20-39 ms,pooled,4 authenticity    A - S,-0.057,-0.0938,-0.0198
E,ps20,0-19 ms,pooled,1 processing      C - P,0.0053,-0.0089,0.0326
E,ps20,0-19 ms,pooled,2 excision        D - C,0.4733,0.4207,0.5154
E,ps20,0-19 ms,pooled,3 source switch   S - C,0.4345,0.3801,0.4809
E,ps20,0-19 ms,pooled,4 authenticity    A - S,-0.0342,-0.0652,-0.0023
E,ps20,20-39 ms,pooled,1 processing      C - P,-0.0039,-0.01,0.0259
E,ps20,20-39 ms,pooled,2 excision        D - C,0.4316,0.3781,0.4684
E,ps20,20-39 ms,pooled,3 source switch   S - C,0.4031,0.3475,0.4425
E,ps20,20-39 ms,pooled,4 authenticity    A - S,-0.0268,-0.0586,0.0065
M,ps20,0-19 ms,0,C,0.0,,
M,ps20,0-19 ms,20,C,0.0122,,
M,ps20,0-19 ms,60,C,0.0041,,
M,ps20,0-19 ms,160,C,0.0048,,
M,ps20,0-19 ms,0,D,0.4706,,
M,ps20,0-19 ms,20,D,0.485,,
M,ps20,0-19 ms,60,D,0.4893,,
M,ps20,0-19 ms,160,D,0.4694,,
M,ps20,0-19 ms,0,S,0.4229,,
M,ps20,0-19 ms,20,S,0.4232,,
M,ps20,0-19 ms,60,S,0.4549,,
M,ps20,0-19 ms,160,S,0.4581,,
M,ps20,0-19 ms,0,A,0.4087,,
M,ps20,0-19 ms,20,A,0.4076,,
M,ps20,0-19 ms,60,A,0.4004,,
M,ps20,0-19 ms,160,A,0.4057,,
M,ps20,20-39 ms,0,C,0.0,,
M,ps20,20-39 ms,20,C,-0.0073,,
M,ps20,20-39 ms,60,C,-0.0097,,
M,ps20,20-39 ms,160,C,0.0014,,
M,ps20,20-39 ms,0,D,0.3822,,
M,ps20,20-39 ms,20,D,0.4497,,
M,ps20,20-39 ms,60,D,0.4464,,
M,ps20,20-39 ms,160,D,0.4326,,
M,ps20,20-39 ms,0,S,0.3664,,
M,ps20,20-39 ms,20,S,0.3929,,
M,ps20,20-39 ms,60,S,0.4224,,
M,ps20,20-39 ms,160,S,0.4152,,
M,ps20,20-39 ms,0,A,0.3335,,
M,ps20,20-39 ms,20,A,0.3602,,
M,ps20,20-39 ms,60,A,0.3778,,
M,ps20,20-39 ms,160,A,0.4182,,
R,ps20,M_near,shape,C,+0.013,,
R,ps20,M_total,shape,C,+0.116,,
R,ps20,M_near,shape,D,+0.279,,
